team,year,class,status,gender
Atholton,2017,3AE,RR,Boys
Atholton,2007,3AE,RS,Boys
Atholton,2010,3AE,RS,Boys
Atholton,2023,3AE,RR2,Boys
Atholton,2019,3AE,RR1,Boys
x-Samuel Banks,2005,1AS,RS,Boys
x-Beall,1993,1A,RU,Boys
x-Beall,1997,1A,RU,Boys
x-Beall,2002,1A,RU,Boys
x-Beall,2003,1AW,RU,Boys
x-Beall,1975,C,SF,Boys
x-Beall,1976,C,SF,Boys
x-Beall,1981,C,SF,Boys
x-Beall,1994,1A,SF,Boys
x-Beall,1985,C,QF,Boys
x-Beall,1990,1A,QF,Boys
x-Beall,1995,1A,QF,Boys
x-Beall,2005,1AW,RR,Boys
x-Beall,2006,1AW,RS,Boys
Bel Air,1982,B,SF,Boys
Bel Air,2004,3AN,SF,Boys
Bel Air,1998,3A,QF,Boys
Bel Air,2003,3AN,RR,Boys
Bel Air,2014,3AN,RR,Boys
Bel Air,2015,4AN,RS,Boys
Bel Air,2016,4AN,RS,Boys
Bel Air,2021,3AN,RR1,Boys
Bel Air,2022,3AN,RR2,Boys
Bel Air,2023,3AN,RR2,Boys
James M. Bennett,1982,B,CH,Boys
James M. Bennett,1983,C,CH,Boys
James M. Bennett,1985,C,CH,Boys
James M. Bennett,1984,C,RU,Boys
James M. Bennett,1987,B,SF,Boys
James M. Bennett,1990,2A,SF,Boys
James M. Bennett,1986,C,QF,Boys
James M. Bennett,1988,2A,QF,Boys
James M. Bennett,1989,2A,QF,Boys
James M. Bennett,2018,3AE,RR,Boys
James M. Bennett,2003,2AE,RS,Boys
James M. Bennett,2009,3AE,RS,Boys
James M. Bennett,2015,3AE,RS,Boys
James M. Bennett,2017,3AE,RS,Boys
James M. Bennett,2019,3AS,RR1,Boys
James M. Bennett,2021,3AE,RR1,Boys
James M. Bennett,2022,3AE,RR1,Boys
James M. Bennett,2023,2AE,RR1,Boys
Bethesda-Chevy Chase,1995,2A,SF,Boys
Bethesda-Chevy Chase,2023,4AN,QF,Boys
Bethesda-Chevy Chase,2011,4AW,RS,Boys
Bethesda-Chevy Chase,2012,4AW,RS,Boys
Bethesda-Chevy Chase,2021,4AW,RR1,Boys
Bethesda-Chevy Chase,2022,4AW,RR1,Boys
Bladensburg,1990,3A,QF,Boys
Bladensburg,2021,4AN,RR1,Boys
Bladensburg,2022,4AN,RR1,Boys
Bladensburg,2023,4AS,RR1,Boys
Montgomery Blair,2021,4AN,QF,Boys
Montgomery Blair,2022,4AN,QF,Boys
Montgomery Blair,2014,4AW,RR,Boys
Montgomery Blair,2015,4AW,RS,Boys
Montgomery Blair,2016,4AW,RS,Boys
Montgomery Blair,2023,4AN,RR2,Boys
