team,year,class,status,gender,Sport
Bowie,1979,AA,SF,Boys,Football
Bowie,1987,AA,SF,Boys,Football
Bowie,1985,AA,QF,Boys,Football
Bowie,1986,AA,QF,Boys,Football
Bowie,2006,4AS,RS,Boys,Football
Bowie,2015,4AS,RS,Boys,Football
Bowie,2019,4AS,RR2,Boys,Football
Bowie,2021,4AS,RR2,Boys,Football
Bowie,2023,4AS,RR2,Boys,Football
Bowie,2022,4AS,RR1,Boys,Football
Broadneck,2003,4AE,RU,Boys,Football
Broadneck,2023,4AE,RU,Boys,Football
Broadneck,1998,3A,SF,Boys,Football
Broadneck,2000,4A,SF,Boys,Football
Broadneck,2004,4AE,SF,Boys,Football
Broadneck,2006,4AE,SF,Boys,Football
Broadneck,2010,4AE,SF,Boys,Football
Broadneck,2015,4AE,SF,Boys,Football
Broadneck,2022,4AE,SF,Boys,Football
Broadneck,1997,3A,QF,Boys,Football
Broadneck,2001,4A,QF,Boys,Football
Broadneck,2002,4A,QF,Boys,Football
Broadneck,2021,4AE,QF,Boys,Football
Broadneck,2007,4AE,RR,Boys,Football
Broadneck,2016,4AE,RR,Boys,Football
Broadneck,2017,4AE,RR,Boys,Football
Broadneck,2013,4AE,RS,Boys,Football
Broadneck,2014,4AE,RS,Boys,Football
Broadneck,2018,4AE,RS,Boys,Football
Broadneck,2019,4AE,RR1,Boys,Football
x-Brooklyn Park,1983,C,SF,Boys,Football
Brunswick,1999,1A,RU,Boys,Football
Brunswick,2005,1AN,SF,Boys,Football
Brunswick,2010,1AN,SF,Boys,Football
Brunswick,2012,1AW,SF,Boys,Football
Brunswick,2022,1AN,SF,Boys,Football
Brunswick,1985,C,QF,Boys,Football
Brunswick,1987,C,QF,Boys,Football
Brunswick,1992,1A,QF,Boys,Football
Brunswick,1995,1A,QF,Boys,Football
Brunswick,1998,1A,QF,Boys,Football
Brunswick,2021,1AN,QF,Boys,Football
Brunswick,2011,1AW,RS,Boys,Football
Brunswick,2019,1AW,RR1,Boys,Football
Brunswick,2023,1AN,RR1,Boys,Football
Calvert,2000,3A,CH,Boys,Football
Calvert,2023,2A/1AS,RU,Boys,Football
Calvert,2002,3A,SF,Boys,Football
Calvert,2016,2AS,SF,Boys,Football
Calvert,2022,2A/1AS,SF,Boys,Football
Calvert,2015,2AS,RS,Boys,Football
Calvert,2019,2A,RR2,Boys,Football
Calvert,2021,2A/1AS,RR2,Boys,Football
Cambridge-South Dorchester,1979,B,CH,Boys,Football
Cambridge-South Dorchester,1995,1A,CH,Boys,Football
Cambridge-South Dorchester,1996,1A,CH,Boys,Football
Cambridge-South Dorchester,1976,B,RU,Boys,Football
Cambridge-South Dorchester,1977,B,RU,Boys,Football
Cambridge-South Dorchester,1978,B,RU,Boys,Football
Cambridge-South Dorchester,1984,B,RU,Boys,Football
Cambridge-South Dorchester,1992,1A,RU,Boys,Football
Cambridge-South Dorchester,1974,B,SF,Boys,Football
Cambridge-South Dorchester,1975,B,SF,Boys,Football
Cambridge-South Dorchester,1983,B,SF,Boys,Football
Cambridge-South Dorchester,1985,B,SF,Boys,Football
Cambridge-South Dorchester,1993,2A,SF,Boys,Football
Cambridge-South Dorchester,1994,2A,SF,Boys,Football
Cambridge-South Dorchester,1997,1A,SF,Boys,Football
Cambridge-South Dorchester,1998,1A,SF,Boys,Football
Cambridge-South Dorchester,1999,1A,SF,Boys,Football
Cambridge-South Dorchester,2013,1AE,SF,Boys,Football
Cambridge-South Dorchester,2014,1AE,SF,Boys,Football
Cambridge-South Dorchester,2019,1AE,SF,Boys,Football
Cambridge-South Dorchester,2023,1AE,SF,Boys,Football
Cambridge-South Dorchester,1987,B,QF,Boys,Football
Cambridge-South Dorchester,1991,1A,QF,Boys,Football
Cambridge-South Dorchester,2000,1A,QF,Boys,Football
Cambridge-South Dorchester,2011,1AE,RR,Boys,Football
Cambridge-South Dorchester,2012,1AE,RR,Boys,Football
Cambridge-South Dorchester,2015,1AE,RR,Boys,Football
Cambridge-South Dorchester,2016,1AE,RR,Boys,Football
Cambridge-South Dorchester,2003,1AE,RS,Boys,Football
Cambridge-South Dorchester,2005,1AE,RS,Boys,Football
Cambridge-South Dorchester,2007,1AE,RS,Boys,Football
Cambridge-South Dorchester,2008,1AE,RS,Boys,Football
Cambridge-South Dorchester,2010,1AE,RS,Boys,Football
Cambridge-South Dorchester,2017,1AE,RS,Boys,Football
Cambridge-South Dorchester,2018,1AE,RS,Boys,Football
Cambridge-South Dorchester,2021,2A/1AE,RR2,Boys,Football
Cambridge-South Dorchester,2022,2A/1AE,RR1,Boys,Football
Carver Vocational-Technical,2005,3AN,RS,Boys,Football
Carver Vocational-Technical,2009,1AS,RS,Boys,Football
Carver Vocational-Technical,2013,2AN,RS,Boys,Football
Carver Vocational-Technical,2019,1AN,RR1,Boys,Football
Carver Vocational-Technical,2021,2A/1AN,RR1,Boys,Football
Carver Vocational-Technical,2022,2A/1AN,RR1,Boys,Football
Carver Vocational-Technical,2023,2A/1AE,RR1,Boys,Football
Catoctin,2009,1AN,CH,Boys,Football
Catoctin,2019,1AW,CH,Boys,Football
Catoctin,1982,C,SF,Boys,Football
Catoctin,1986,C,SF,Boys,Football
Catoctin,2008,1AN,SF,Boys,Football
Catoctin,2023,1AN,QF,Boys,Football
Catoctin,2003,1AW,RR,Boys,Football
Catoctin,2007,1AN,RR,Boys,Football
Catoctin,2018,1AW,RR,Boys,Football
Catoctin,2005,1AN,RS,Boys,Football
Catoctin,2006,1AN,RS,Boys,Football
Catoctin,2013,2AW,RS,Boys,Football
Catoctin,2021,1AN,RR1,Boys,Football
Catoctin,2022,1AN,RR1,Boys,Football
Catonsville,2011,4AN,SF,Boys,Football
Catonsville,2005,3AN,RR,Boys,Football
Catonsville,2007,3AN,RR,Boys,Football
Catonsville,2004,3AN,RS,Boys,Football
Catonsville,2010,3AN,RS,Boys,Football
Catonsville,2012,4AN,RS,Boys,Football
Catonsville,2019,4AN,RR1,Boys,Football
Catonsville,2021,4A/3AN,RR1,Boys,Football
Catonsville,2022,4A/3AN,RR1,Boys,Football
Catonsville,2023,4A/3AN,RR1,Boys,Football
Centennial,1980,B,SF,Boys,Football
Centennial,2021,3AS,RR1,Boys,Football
Centennial,2022,3AS,RR1,Boys,Football
Centennial,2023,2AW,RR1,Boys,Football
Central,2021,2A/1AN,RR1,Boys,Football
Central,2022,2A/1AN,RR1,Boys,Football
Central,2023,2A/1AE,RR1,Boys,Football
Century,2008,2AW,SF,Boys,Football
Century,2009,2AW,RS,Boys,Football
Century,2016,2AW,RS,Boys,Football
Century,2018,2AW,RS,Boys,Football
Century,2019,2AW,RR1,Boys,Football
Century,2021,2AW,RR1,Boys,Football
Century,2022,2AW,RR1,Boys,Football
Century,2023,2A/1AW,RR1,Boys,Football
Chesapeake - AA,2018,3AE,SF,Boys,Football
