team,year,class,status,gender
Dulaney,1992,4A,CH,Girls
Dulaney,1994,4A,CH,Girls
Dulaney,1995,4A,CH,Girls
Dulaney,1996,4A,CH,Girls
Dulaney,1997,4A,CH,Girls
Dulaney,2001,4A,CH,Girls
Dulaney,1982,4A,FN,Girls
Dulaney,1993,4A,FN,Girls
Dulaney,1998,4A,FN,Girls
Dulaney,1999,4A,FN,Girls
Dulaney,2000,4A,FN,Girls
Dulaney,2004,4A,FN,Girls
Dulaney,2005,4A,FN,Girls
Dulaney,2006,4A,FN,Girls
Dulaney,2015,4A,FN,Girls
Albert Einstein,2014,4A,FN,Girls
Fallston,1993,4A,FN,Girls
Frederick,1989,4A,CH,Girls
Frederick,1995,4A,CH,Girls
Frederick,1980,4A,FN,Girls
Frederick,1981,4A,FN,Girls
Frederick,1988,4A,FN,Girls
Frederick,1990,4A,FN,Girls
Frederick,2004,4A,FN,Girls
Friendly,1976,4A,FN,Girls
Glenelg,1990,4A,CH,Girls
Glenelg,2003,4A,CH,Girls
Glenelg,1983,4A,FN,Girls
Glenelg,1989,4A,FN,Girls
Glenelg,1992,4A,FN,Girls
Glenelg,1998,4A,FN,Girls
Glenelg,1999,4A,FN,Girls
Glenelg,2000,4A,FN,Girls
Glenelg,2001,4A,FN,Girls
Great Mills,1989,4A,CH,Girls
Hereford,1978,4A,CH,Girls
Hereford,1979,4A,CH,Girls
Hereford,1980,4A,CH,Girls
Hereford,2004,4A,CH,Girls
Hereford,2005,4A,CH,Girls
Hereford,2010,4A,CH,Girls
Hereford,2011,4A,CH,Girls
Hereford,2013,4A,CH,Girls
Hereford,2015,4A,CH,Girls
Hereford,2016,4A,CH,Girls
Hereford,2017,4A,CH,Girls
Hereford,2018,4A,CH,Girls
Hereford,1984,4A,FN,Girls
Hereford,1996,4A,FN,Girls
Hereford,2002,4A,FN,Girls
Hereford,2003,4A,FN,Girls
Hereford,2006,4A,FN,Girls
Hereford,2007,4A,FN,Girls
Hereford,2008,4A,FN,Girls
Hereford,2009,4A,FN,Girls
Hereford,2014,4A,FN,Girls
Howard,2006,4A,CH,Girls
Howard,2007,4A,CH,Girls
Howard,2019,4A,CH,Girls
Howard,2018,4A,FN,Girls
Thomas Johnson,2009,4A,FN,Girls
Walter Johnson,1996,4A,CH,Girls
Walter Johnson,1997,4A,CH,Girls
Walter Johnson,1998,4A,CH,Girls
Walter Johnson,1999,4A,CH,Girls
Walter Johnson,2013,4A,CH,Girls
Walter Johnson,2014,4A,CH,Girls
Walter Johnson,2015,4A,CH,Girls
Walter Johnson,2016,4A,CH,Girls
Walter Johnson,2017,4A,CH,Girls
Walter Johnson,1991,4A,FN,Girls
Walter Johnson,1992,4A,FN,Girls
Walter Johnson,1993,4A,FN,Girls
Walter Johnson,2002,4A,FN,Girls
John F. Kennedy,1983,4A,CH,Girls
Francis Scott Key,1994,4A,FN,Girls
Laurel,1985,4A,CH,Girls
Laurel,1986,4A,FN,Girls
Laurel,1987,4A,FN,Girls
Leonardtown,1989,4A,FN,Girls
Liberty,2014,4A,CH,Girls
Liberty,2019,4A,CH,Girls
Liberty,1990,4A,FN,Girls
Linganore,1993,4A,CH,Girls
Linganore,1994,4A,CH,Girls
Linganore,1995,4A,CH,Girls
Linganore,2000,4A,FN,Girls
Loch Raven,2004,4A,CH,Girls
Loch Raven,1982,4A,FN,Girls
Loch Raven,1983,4A,FN,Girls
Loch Raven,1985,4A,FN,Girls
Loch Raven,1986,4A,FN,Girls
Loch Raven,1991,4A,FN,Girls
Loch Raven,2003,4A,FN,Girls
Loch Raven,2010,4A,FN,Girls
Manchester Valley,2012,4A,FN,Girls
McDonough,1981,4A,CH,Girls
McDonough,1984,4A,FN,Girls
Middletown,1981,4A,CH,Girls
Middletown,1991,4A,CH,Girls
Middletown,1992,4A,CH,Girls
Middletown,1997,4A,CH,Girls
Middletown,1998,4A,CH,Girls
Middletown,1999,4A,CH,Girls
Middletown,2000,4A,CH,Girls
Middletown,1980,4A,FN,Girls
Middletown,1990,4A,FN,Girls
Middletown,2019,4A,FN,Girls
Mount Hebron,1997,4A,FN,Girls
Mount Hebron,1998,4A,FN,Girls
Mount Hebron,2010,4A,FN,Girls
North Carroll,1983,4A,CH,Girls
North Carroll,1984,4A,CH,Girls
North Carroll,1985,4A,CH,Girls
North Carroll,1986,4A,CH,Girls
North Carroll,2000,4A,CH,Girls
North Carroll,1982,4A,FN,Girls
North Carroll,1999,4A,FN,Girls
North Carroll,2001,4A,FN,Girls
North Hagerstown,1987,4A,CH,Girls
North Harford,1986,4A,CH,Girls
Northern-C,2016,4A,CH,Girls
Northern-C,2017,4A,CH,Girls
Northern-C,2018,4A,CH,Girls
Northern-C,2019,4A,CH,Girls
Northern-C,2015,4A,FN,Girls
Northern-G,2019,4A,CH,Girls
Northern-G,2016,4A,FN,Girls
Northwest,2002,4A,CH,Girls
Northwest,2003,4A,CH,Girls
Northwest,2004,4A,FN,Girls
Northwest,2008,4A,FN,Girls
Northwest,2010,4A,FN,Girls
Northwood,1975,4A,CH,Girls
Northwood,1977,4A,CH,Girls
Northwood,1978,4A,CH,Girls
Northwood,1976,4A,FN,Girls
Oakdale,2018,4A,FN,Girls
Oakland Mills,1995,4A,FN,Girls
Oakland Mills,2012,4A,FN,Girls
Oxon Hill,1977,4A,FN,Girls
Perry Hall,1993,4A,CH,Girls
Poolesville,2013,4A,FN,Girls
Quince Orchard,2001,4A,CH,Girls
Quince Orchard,1991,4A,FN,Girls
Quince Orchard,1992,4A,FN,Girls
Quince Orchard,1994,4A,FN,Girls
Quince Orchard,1996,4A,FN,Girls
Quince Orchard,2012,4A,FN,Girls
Reservoir,2012,4A,CH,Girls
River Hill,2007,4A,CH,Girls
River Hill,2008,4A,CH,Girls
River Hill,2009,4A,CH,Girls
River Hill,2014,4A,CH,Girls
River Hill,2000,4A,FN,Girls
River Hill,2005,4A,FN,Girls
River Hill,2006,4A,FN,Girls
River Hill,2011,4A,FN,Girls
River Hill,2013,4A,FN,Girls
River Hill,2016,4A,FN,Girls
River Hill,2017,4A,FN,Girls
Rockville,1980,4A,FN,Girls
Eleanor Roosevelt,1986,4A,CH,Girls
Eleanor Roosevelt,1988,4A,CH,Girls
Eleanor Roosevelt,2004,4A,CH,Girls
Eleanor Roosevelt,2005,4A,CH,Girls
Eleanor Roosevelt,2006,4A,CH,Girls
Eleanor Roosevelt,1978,4A,FN,Girls
Eleanor Roosevelt,1987,4A,FN,Girls
Eleanor Roosevelt,2003,4A,FN,Girls
Eleanor Roosevelt,2007,4A,FN,Girls
Severna Park,1987,4A,CH,Girls
Severna Park,1998,4A,CH,Girls
Severna Park,2005,4A,CH,Girls
Severna Park,2006,4A,CH,Girls
Severna Park,2009,4A,CH,Girls
Severna Park,2018,4A,CH,Girls
Severna Park,1997,4A,FN,Girls
Severna Park,2017,4A,FN,Girls
Severna Park,2019,4A,FN,Girls
Sherwood,1979,4A,FN,Girls
Smithsburg,1978,4A,CH,Girls
Smithsburg,2000,4A,CH,Girls
Smithsburg,2001,4A,CH,Girls
Smithsburg,2006,4A,CH,Girls
Smithsburg,2014,4A,CH,Girls
Smithsburg,1979,4A,FN,Girls
Smithsburg,1984,4A,FN,Girls
Smithsburg,1985,4A,FN,Girls
Smithsburg,2009,4A,FN,Girls
Smithsburg,2013,4A,FN,Girls
Smithsburg,2015,4A,FN,Girls
South Carroll,2007,4A,CH,Girls
South Carroll,2008,4A,FN,Girls
South Carroll,2011,4A,FN,Girls
Southern (G),1996,4A,CH,Girls
Southern (G),1999,4A,CH,Girls
Southern (G),1995,4A,FN,Girls
Southern (G),1997,4A,FN,Girls
Southern (G),2002,4A,FN,Girls
Towson,1980,4A,CH,Girls
Towson,1982,4A,CH,Girls
Towson,1984,4A,CH,Girls
Towson,2001,4A,CH,Girls
Towson,2008,4A,CH,Girls
Towson,1981,4A,FN,Girls
Walkersville,1982,4A,FN,Girls
Walkersville,1983,4A,FN,Girls
Westminster,1984,4A,CH,Girls
Westminster,1983,4A,FN,Girls
Walt Whitman,1990,4A,CH,Girls
Walt Whitman,1991,4A,CH,Girls
Walt Whitman,1992,4A,CH,Girls
Walt Whitman,2010,4A,CH,Girls
Walt Whitman,1988,4A,FN,Girls
Walt Whitman,1989,4A,FN,Girls
Walt Whitman,1995,4A,FN,Girls
Walt Whitman,2011,4A,FN,Girls
Wilde Lake,1996,4A,CH,Girls
Wilde Lake,1997,4A,FN,Girls
Williamsport,1979,4A,CH,Girls
Williamsport,1980,4A,CH,Girls
Williamsport,1981,4A,CH,Girls
Williamsport,1982,4A,CH,Girls
Williamsport,2002,4A,CH,Girls
Williamsport,2003,4A,CH,Girls
Williamsport,2005,4A,CH,Girls
Williamsport,1978,4A,FN,Girls
Williamsport,2004,4A,FN,Girls
Williamsport,2006,4A,FN,Girls
Winters Mill,2004,4A,FN,Girls
Charles W. Woodward,1985,4A,CH,Girls
Thomas S. Wootton,2016,4A,FN,Girls
C. Milton Wright,1988,4A,CH,Girls
C. Milton Wright,1999,4A,CH,Girls
C. Milton Wright,2000,4A,CH,Girls
C. Milton Wright,2004,4A,CH,Girls
C. Milton Wright,2007,4A,CH,Girls
C. Milton Wright,2008,4A,CH,Girls
C. Milton Wright,1985,4A,FN,Girls
C. Milton Wright,1994,4A,FN,Girls
C. Milton Wright,1996,4A,FN,Girls
C. Milton Wright,2001,4A,FN,Girls
C. Milton Wright,2002,4A,FN,Girls
C. Milton Wright,2003,4A,FN,Girls
C. Milton Wright,201,4A,FN,Girls
