Year,Sport,Gender,School,Coach,Classification,Status,Final Score,Opponent Score,Opponent,Wins,Losses
2001,Lacrosse,Girls,Mount Hebron,Chris Robinson,3A-2A,Champion,19.0,6.0,Severna Park,,
2002,Lacrosse,Girls,Mount Hebron,Brooke Kuhl-McClelland,3A-2A,Champion,18.0,7.0,Broadneck,,
2002,Lacrosse,Girls,Hereford,Anne Ensor,2A-1A,Champion,21.0,4.0,Mount Hebron,,
2002,Lacrosse,Girls,Broadneck,Karen Tengwall,4A-3A,Champion,10.0,3.0,Mount Hebron,,
2003,Lacrosse,Girls,Hereford,Anne Ensor,2A-1A,Champion,14.0,9.0,Mount Hebron,,
2003,Lacrosse,Girls,Broadneck,Karen Tengwall,4A-3A,Champion,9.0,8.0,Mount Hebron,,
2003,Lacrosse,Girls,Mount Hebron,Brooke Kuhl-McClelland,3A-2A,Champion,18.0,6.0,Broadneck,,
2004,Lacrosse,Girls,Century,Rose Pentz,2A-1A,Champion,15.0,7.0,Mount Hebron,,
2004,Lacrosse,Girls,Mount Hebron,Brooke Kuhl-McClelland,3A-2A,Champion,21.0,7.0,C. Milton Wright,,
2004,Lacrosse,Girls,C. Milton Wright,Carl Greenberg,4A-3A,Champion,19.0,6.0,Mount Hebron,,
2005,Lacrosse,Girls,Mount Hebron,Brooke Kuhl-McClelland,3A-2A,Champion,11.0,5.0,Glenelg,,
2005,Lacrosse,Girls,Dulaney,Tina McGinn,4A-3A,Champion,9.0,4.0,Mount Hebron,,
2005,Lacrosse,Girls,Glenelg,Ginger Kincaid,2A-1A,Champion,11.0,10.0,Mount Hebron,,
2006,Lacrosse,Girls,Century,Rose Pentz,2A-1A,Champion,16.0,6.0,Mount Hebron,,
2006,Lacrosse,Girls,Dulaney,Kristi Korrow,4A-3A,Champion,11.0,9.0,Mount Hebron,,
2006,Lacrosse,Girls,Mount Hebron,Brooke Kuhl-McClelland,3A-2A,Champion,16.0,0.0,Century,,
2007,Lacrosse,Girls,Severna Park,Carin Peterson,4A-3A,Champion,13.0,9.0,Mount Hebron,,
2007,Lacrosse,Girls,Mount Hebron,Brooke Kuhl-McClelland,3A-2A,Champion,7.0,6.0,Century,,
