f,YEAR,FINAL STANDING,GENDER,FINAL SCORE,COACH,CLASS,,,,,,,
DAMASCUS,1952,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
DAMASCUS,1981,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
DAMASCUS,1992,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
DAMASCUS,2004,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
DAMASCUS,2013,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
DAMASCUS,2014,FINALIST,GIRLS,NA,NA,NA,,,,,,,
DAMASCUS,2023,FINALIST,BOYS,NA,NA,NA,,,,,,,
DENTON,1947,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
DENTON,1948,FINALIST,GIRLS,NA,NA,C,,,,,,,
DIGITAL HARBOR,2008,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
DIGITAL HARBOR,2009,CHAMPION,BOYS,75-60,JOHNNIE GRIMES,1A,,,,,,,
DIGITAL HARBOR,2009,CHAMPION,GIRLS,50-41,PATRICK MCDONALD,1A,,,,,,,
DIGITAL HARBOR,2010,CHAMPION,BOYS,NA,NA,NA,,,,,,,
DIGITAL HARBOR,2010,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
DIGITAL HARBOR,2011,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
DIGITAL HARBOR,2011,CHAMPION,BOYS,64-46,JOHNNIE GRIMES,2A,,,,,,,
DOUGLASS (PG),1981,FINALIST,GIRLS,NA,NA,NA,,,,,,,
DOUGLASS (PG),1990,FINALIST,GIRLS,NA,NA,NA,,,,,,,
DOUGLASS (PG),1991,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
DOUGLASS (PG),1996,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
DOUGLASS (PG),2009,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
DOUGLASS (PG),2010,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
DOUGLASS (PG),2011,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
DOUGLASS (PG),2017,FINALIST,GIRLS,NA,NA,NA,,,,,,,
DOUGLASS (PG),2018,FINALIST,GIRLS,NA,NA,NA,,,,,,,
DOUGLASS (PG),2019,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
DOUGLASS-B,2002,CHAMPION,BOYS,76-72,RODNEY COFFIELD,3A,,,,,,,
DOUGLASS-B,2004,CHAMPION,BOYS,66-65,RODNEY COFFIELD,3A,,,,,,,
DOUGLASS-PG,1963,CHAMPION,BOYS,68-61,CHARLES BRIGGS,B,,,,,,,
DOUGLASS-PG,1966,CHAMPION,BOYS,63-60,S. A. WILLIAMS,B,,,,,,,
DR. HENRY A. WISE,2014,CHAMPION,BOYS,70-43,ROBERT GARNER,4A,,,,,,,
"DR. HENRY A. WISE, JR.",2009,FINALIST,BOYS,NA,NA,NA,,,,,,,
"DR. HENRY A. WISE, JR.",2010,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
"DR. HENRY A. WISE, JR.",2011,FINALIST,GIRLS,NA,NA,NA,,,,,,,
"DR. HENRY A. WISE, JR.",2012,FINALIST,GIRLS,NA,NA,NA,,,,,,,
"DR. HENRY A. WISE, JR.",2014,CHAMPION,BOYS,NA,NA,NA,,,,,,,
"DR. HENRY A. WISE, JR.",2017,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
"DR. HENRY A. WISE, JR.",2020,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
"DR. HENRY A. WISE, JR.",2024,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
DULANEY,1976,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
DULANEY,1977,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
DULANEY,1977,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
DULANEY,1981,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
DULANEY,1982,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
DULANEY,1983,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
DULANEY,1984,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
DULANEY,1985,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
DULANEY,1987,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
DULANEY,1988,CHAMPION,GIRLS,51-41,ELAINE LINDSAY,AA,,,,,,,
DULANEY,2008,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
DULANEY,2019,SEMIFINALIST,BOYS,NA,NA,NA,,,,,,,
DUNBAR,1993,CHAMPION,BOYS,66-59,PETE POMPEY,C,,,,,,,
DUNBAR,1994,CHAMPION,BOYS,90-62,PAUL SMITH,B,,,,,,,
DUNBAR,1995,CHAMPION,BOYS,100-58,PAUL SMITH,B,,,,,,,
DUNBAR,1996,CHAMPION,BOYS,66-60,PAUL SMITH,A,,,,,,,
DUNBAR,1998,CHAMPION,BOYS,57-40,LYNN BADHAM,B,,,,,,,
DUNBAR,1999,CHAMPION,BOYS,79-43,LYNN BADHAM,B,,,,,,,
DUNBAR,2000,CHAMPION,GIRLS,53-36,WARDELL SELBY,2A,,,,,,,
DUNBAR,2001,CHAMPION,GIRLS,63-36,WARDELL SELBY,2A,,,,,,,
DUNBAR,2001,CHAMPION,BOYS,45-43,ERIC LEE,2A,,,,,,,
DUNBAR,2002,CHAMPION,GIRLS,62-46,WARDELL SELBY,1A,,,,,,,
DUNBAR,2003,CHAMPION,GIRLS,53-48,WARDELL SELBY,1A,,,,,,,
DUNBAR,2003,CHAMPION,BOYS,72-55,ERIC LEE,1A,,,,,,,
DUNBAR,2004,CHAMPION,BOYS,68-43,ERIC LEE,1A,,,,,,,
DUNBAR,2005,CHAMPION,BOYS,69-56,ERIC LEE,1A,,,,,,,
DUNBAR,2006,CHAMPION,BOYS,68-47,ERIC LEE,1A,,,,,,,
DUNBAR,2010,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
DUNBAR,2010,CHAMPION,BOYS,64-53,CYRUS JONES,1A,,,,,,,
DUNBAR,2011,CHAMPION,GIRLS,80-62,WARDELL SELBY,1A,,,,,,,
DUNBAR,2011,CHAMPION,BOYS,64-43,CYRUS JONES,1A,,,,,,,
DUNBAR,2012,CHAMPION,GIRLS,50-42,WARDELL SELBY,1A,,,,,,,
DUNBAR,2012,CHAMPION,BOYS,60-36,CYRUS JONES,1A,,,,,,,
DUNBAR,2013,FINALIST,GIRLS,NA,NA,NA,,,,,,,
DUNBAR,2013,CHAMPION,BOYS,54-52,CYRUS JONES,1A,,,,,,,
DUNBAR,2014,SEMIFINALIST,GIRLS,NA,NA,NA,,,,,,,
