SCHOOL,YEAR,FINAL STANDING,GENDER,FINAL SCORE,COACH,CLASS
SOUTHERN (G),1984,SEMIFINALIST,GIRLS,NA,NA,NA
SPRINGBROOK,1984,FINALIST,GIRLS,NA,NA,NA
STEPHEN DECATUR,1984,SEMIFINALIST,BOYS,NA,NA,NA
WESTMINSTER,1984,CHAMPION,GIRLS,NA,NA,NA
CENTRAL-PG,1984,CHAMPION,BOYS,76-71 (2 OT),Walter Fulton,A
MT. HEBRON,1984,CHAMPION,BOYS,56-54,Chuck Monninger,B
FORESTVILLE,1985,CHAMPION,BOYS,67-63,Aaron Holder,B
BROOKLYN PARK,1985,CHAMPION,GIRLS,Boys,Art St. Martin,C
WILDE LAKE,1985,CHAMPION,BOYS,53-51,Frank Rhodes,C
SUITLAND,1985,CHAMPION,BOYS,73-63,Irvin Hay,AA
ANNAPOLIS,1985,SEMIFINALIST,BOYS,NA,NA,NA
CAMBRIDGE/SD,1985,SEMIFINALIST,BOYS,NA,NA,NA
CATOCTIN,1985,SEMIFINALIST,GIRLS,NA,NA,NA
COL. ZADOK MAGRUDER,1985,SEMIFINALIST,GIRLS,NA,NA,NA
DULANEY,1985,SEMIFINALIST,GIRLS,NA,NA,NA
ELEANOR ROOSEVELT,1985,FINALIST,GIRLS,NA,NA,NA
FAIRMONT HEIGHTS,1985,SEMIFINALIST,GIRLS,NA,NA,NA
FORESTVILLE,1985,SEMIFINALIST,GIRLS,NA,NA,NA
GOV. THOMAS JOHNSON,1985,CHAMPION,BOYS,NA,NA,NA
HAVRE DE GRACE,1985,FINALIST,BOYS,NA,NA,NA
JAMES M. BENNETT,1985,SEMIFINALIST,BOYS,NA,NA,NA
MCDONOUGH,1985,FINALIST,BOYS,NA,NA,NA
MILFORD MILL,1985,FINALIST,BOYS,NA,NA,NA
NORTH CARROLL,1985,SEMIFINALIST,BOYS,NA,NA,NA
NORTH HARFORD,1985,SEMIFINALIST,GIRLS,NA,NA,NA
OLD MILL,1985,SEMIFINALIST,GIRLS,NA,NA,NA
PAINT BRANCH,1985,FINALIST,BOYS,NA,NA,NA
PIKESVILLE,1985,SEMIFINALIST,BOYS,NA,NA,NA
RANDALLSTOWN,1985,SEMIFINALIST,BOYS,NA,NA,NA
SNOW HILL,1985,FINALIST,GIRLS,NA,NA,NA
SOUTHERN (AA),1985,CHAMPION,GIRLS,NA,NA,NA
SOUTHERN (G),1985,SEMIFINALIST,BOYS,NA,NA,NA
SOUTHERN (G),1985,SEMIFINALIST,GIRLS,NA,NA,NA
THOMAS S. WOOTTON,1985,FINALIST,BOYS,NA,NA,NA
TOWSON,1985,FINALIST,GIRLS,NA,NA,NA
WHEATON,1985,CHAMPION,GIRLS,53-47,Walt Dupee,AA
NORTH HAGERSTOWN,1985,CHAMPION,GIRLS,60-58,Curtis Graff,A
THOMAS JOHNSON,1985,CHAMPION,BOYS,68-55,Tom Dickman,A
BROOKLYN PARK,1986,CHAMPION,GIRLS,56-43,Art St. Martin,C
WALKERSVILLE,1986,CHAMPION,BOYS,62-49 OT,David Miller,C
CROSSLAND,1986,CHAMPION,BOYS,64-59,Earl Hawkins,AA
SOUTH RIVER,1986,CHAMPION,GIRLS,63-52,Jim Morton,A
ABERDEEN,1986,SEMIFINALIST,BOYS,NA,NA,NA
ANNAPOLIS,1986,SEMIFINALIST,BOYS,NA,NA,NA
BLADENSBURG,1986,FINALIST,GIRLS,NA,NA,NA
BROADNECK,1986,SEMIFINALIST,BOYS,NA,NA,NA
CATOCTIN,1986,FINALIST,GIRLS,NA,NA,NA
CHARLES W. WOODWARD,1986,FINALIST,BOYS,NA,NA,NA
FALLSTON,1986,SEMIFINALIST,GIRLS,NA,NA,NA
FREDERICK DOUGLASS (PG),1986,FINALIST,BOYS,NA,NA,NA
GOV. THOMAS JOHNSON,1986,CHAMPION,BOYS,NA,NA,NA
HAVRE DE GRACE,1986,SEMIFINALIST,BOYS,NA,NA,NA
HIGH POINT,1986,SEMIFINALIST,BOYS,NA,NA,NA
MOUNT HEBRON,1986,CHAMPION,GIRLS,NA,NA,NA
MOUNT SAVAGE,1986,SEMIFINALIST,GIRLS,NA,NA,NA
NORTH CAROLINE,1986,SEMIFINALIST,GIRLS,NA,NA,NA
NORTH HAGERSTOWN,1986,FINALIST,GIRLS,NA,NA,NA
OAKLAND MILLS,1986,SEMIFINALIST,BOYS,NA,NA,NA
PARKVILLE,1986,SEMIFINALIST,BOYS,NA,NA,NA
PATAPSCO,1986,SEMIFINALIST,GIRLS,NA,NA,NA
POCOMOKE,1986,SEMIFINALIST,BOYS,NA,NA,NA
ROCKVILLE,1986,SEMIFINALIST,GIRLS,NA,NA,NA
SOUTHERN (AA),1986,CHAMPION,BOYS,NA,NA,NA
SOUTHERN (AA),1986,FINALIST,GIRLS,NA,NA,NA
SURRATTSVILLE,1986,SEMIFINALIST,GIRLS,NA,NA,NA
VALLEY,1986,FINALIST,BOYS,NA,NA,NA
WALT WHITMAN,1986,FINALIST,BOYS,NA,NA,NA
WALTER JOHNSON,1986,SEMIFINALIST,GIRLS,NA,NA,NA
OLD MILL,1986,CHAMPION,GIRLS,68-55,Pat Chance,AA
THOMAS JOHNSON,1986,CHAMPION,BOYS,83-62,Tom Dickman,A
SOUTHERN-AA,1986,CHAMPION,BOYS,64-51,Tom Albright,B
BROOKLYN PARK,1987,CHAMPION,GIRLS,60-41,Art St. Martin,C
LA PLATA,1987,CHAMPION,GIRLS,50-41,Cece Cardano,A
GWYNN PARK,1987,CHAMPION,BOYS,59-38,George Leftwich,A
WALTER JOHNSON,1987,CHAMPION,BOYS,55-53,Hal Templeton,B
NORTH CAROLINE,1987,CHAMPION,BOYS,59-57,Henry Ward,C
ROCKVILLE,1987,CHAMPION,GIRLS,56-54,Joan O'Brien,AA
ANNAPOLIS,1987,SEMIFINALIST,BOYS,NA,NA,NA
BLADENSBURG,1987,SEMIFINALIST,GIRLS,NA,NA,NA
CALVERT,1987,SEMIFINALIST,BOYS,NA,NA,NA
CATONSVILLE,1987,FINALIST,GIRLS,NA,NA,NA
CROSSLAND,1987,FINALIST,BOYS,NA,NA,NA
DULANEY,1987,SEMIFINALIST,GIRLS,NA,NA,NA
ELEANOR ROOSEVELT,1987,FINALIST,GIRLS,NA,NA,NA
FALLSTON,1987,SEMIFINALIST,BOYS,NA,NA,NA
FALLSTON,1987,SEMIFINALIST,GIRLS,NA,NA,NA
FORESTVILLE,1987,SEMIFINALIST,BOYS,NA,NA,NA
FRANCIS SCOTT KEY,1987,SEMIFINALIST,GIRLS,NA,NA,NA
GOV. THOMAS JOHNSON,1987,SEMIFINALIST,GIRLS,NA,NA,NA
JOPPATOWNE,1987,SEMIFINALIST,BOYS,NA,NA,NA
LINGANORE,1987,SEMIFINALIST,GIRLS,NA,NA,NA
MOUNT HEBRON,1987,CHAMPION,GIRLS,NA,NA,NA
MOUNT HEBRON,1987,FINALIST,BOYS,NA,NA,NA
MOUNT SAVAGE,1987,FINALIST,GIRLS,NA,NA,NA
NORTHWESTERN (PG),1987,CHAMPION,BOYS,NA,NA,NA
PARKVILLE,1987,SEMIFINALIST,BOYS,NA,NA,NA
POCOMOKE,1987,SEMIFINALIST,GIRLS,NA,NA,NA
SHERWOOD,1987,FINALIST,BOYS,NA,NA,NA
SOUTH RIVER,1987,SEMIFINALIST,GIRLS,NA,NA,NA
SOUTHERN (AA),1987,FINALIST,GIRLS,NA,NA,NA
SPRINGBROOK,1987,SEMIFINALIST,BOYS,NA,NA,NA
VALLEY,1987,FINALIST,BOYS,NA,NA,NA
WALKERSVILLE,1987,SEMIFINALIST,BOYS,NA,NA,NA
NORTHWESTERN-PG,1987,CHAMPION,BOYS,73-63,Cornell Jones,AA
BROOKLYN PARK,1988,CHAMPION,GIRLS,71-52,Art St. Martin,C
DULANEY,1988,CHAMPION,GIRLS,51-41,Elaine Lindsay,AA
GWYNN PARK,1988,CHAMPION,BOYS,63-51,George Leftwich,B
MILFORD MILL,1988,CHAMPION,BOYS,65-61,Homer Seidel,C
SPRINGBROOK,1988,CHAMPION,BOYS,77-73,John Barrett,AA
CAMBRIDGE/SD,1988,SEMIFINALIST,BOYS,NA,NA,NA
CROSSLAND,1988,FINALIST,BOYS,NA,NA,NA
EASTON,1988,SEMIFINALIST,BOYS,NA,NA,NA
FRIENDLY,1988,FINALIST,GIRLS,NA,NA,NA
GAITHERSBURG,1988,SEMIFINALIST,BOYS,NA,NA,NA
GOV. THOMAS JOHNSON,1988,FINALIST,GIRLS,NA,NA,NA
GREAT MILLS,1988,CHAMPION,GIRLS,NA,NA,NA
GWYNN PARK,1988,FINALIST,GIRLS,NA,NA,NA
HAVRE DE GRACE,1988,SEMIFINALIST,BOYS,NA,NA,NA
HEREFORD,1988,SEMIFINALIST,GIRLS,NA,NA,NA
LANSDOWNE,1988,FINALIST,GIRLS,NA,NA,NA
LANSDOWNE,1988,SEMIFINALIST,GIRLS,NA,NA,NA
MARDELA,1988,SEMIFINALIST,GIRLS,NA,NA,NA
MEADE,1988,FINALIST,GIRLS,NA,NA,NA
MEADE,1988,SEMIFINALIST,BOYS,NA,NA,NA
MIDDLETOWN,1988,SEMIFINALIST,GIRLS,NA,NA,NA
MONTGOMERY BLAIR,1988,SEMIFINALIST,GIRLS,NA,NA,NA
MOUNT HEBRON,1988,CHAMPION,GIRLS,NA,NA,NA
OAKLAND MILLS,1988,SEMIFINALIST,BOYS,NA,NA,NA
PAINT BRANCH,1988,SEMIFINALIST,BOYS,NA,NA,NA
PARKSIDE,1988,SEMIFINALIST,GIRLS,NA,NA,NA
SEVERNA PARK,1988,SEMIFINALIST,GIRLS,NA,NA,NA
SHERWOOD,1988,SEMIFINALIST,GIRLS,NA,NA,NA
SMITHSBURG,1988,CHAMPION,BOYS,NA,NA,NA
SMITHSBURG,1988,SEMIFINALIST,GIRLS,NA,NA,NA
THOMAS STONE,1988,FINALIST,BOYS,NA,NA,NA
TOWSON,1988,SEMIFINALIST,BOYS,NA,NA,NA
WALKERSVILLE,1988,FINALIST,BOYS,NA,NA,NA
LEONARDTOWN,1988,CHAMPION,GIRLS,60-55,Carol Montague,A
THOMAS JOHNSON,1988,CHAMPION,BOYS,88-69,Tom Dickman,A
SNOW HILL,1989,CHAMPION,BOYS,89-78,Allen Miller,C
BROOKLYN PARK,1989,CHAMPION,GIRLS,59-48,Art St. Martin,1A
HIGH POINT,1989,CHAMPION,BOYS,92-84,Ernie Welch,AA
CAMBRIDGE/SD,1989,CHAMPION,BOYS,77-73,Grayson Hurley,B
MIDDLETOWN,1989,CHAMPION,GIRLS,42-40,Mark Miller,2A
ALBERT EINSTEIN,1989,SEMIFINALIST,GIRLS,NA,NA,NA
ANDOVER,1989,FINALIST,GIRLS,NA,NA,NA
ANNAPOLIS,1989,FINALIST,BOYS,NA,NA,NA
BOONSBORO,1989,SEMIFINALIST,BOYS,NA,NA,NA
CALVERT,1989,SEMIFINALIST,BOYS,NA,NA,NA
CITY COLLEGE,1989,FINALIST,BOYS,NA,NA,NA
FRIENDLY,1989,FINALIST,GIRLS,NA,NA,NA
GLENELG,1989,FINALIST,GIRLS,NA,NA,NA
GOV. THOMAS JOHNSON,1989,CHAMPION,GIRLS,NA,NA,NA
HAMMOND,1989,FINALIST,BOYS,NA,NA,NA
JOHN F. KENNEDY,1989,SEMIFINALIST,BOYS,NA,NA,NA
LANSDOWNE,1989,FINALIST,GIRLS,NA,NA,NA
LANSDOWNE,1989,SEMIFINALIST,GIRLS,NA,NA,NA
MIDDLETOWN,1989,SEMIFINALIST,BOYS,NA,NA,NA
MILFORD MILL,1989,FINALIST,BOYS,NA,NA,NA
NORTH CAROLINE,1989,SEMIFINALIST,BOYS,NA,NA,NA
NORTHERN (CAL.),1989,SEMIFINALIST,BOYS,NA,NA,NA
PAINT BRANCH,1989,SEMIFINALIST,GIRLS,NA,NA,NA
PARKSIDE,1989,SEMIFINALIST,GIRLS,NA,NA,NA
RISING SUN,1989,SEMIFINALIST,GIRLS,NA,NA,NA
SOUTH CARROLL,1989,FINALIST,BOYS,NA,NA,NA
SOUTHERN (AA),1989,SEMIFINALIST,GIRLS,NA,NA,NA
STEPHEN DECATUR,1989,SEMIFINALIST,GIRLS,NA,NA,NA
TOWSON,1989,SEMIFINALIST,BOYS,NA,NA,NA
VALLEY,1989,FINALIST,GIRLS,NA,NA,NA
WOODLAWN,1989,SEMIFINALIST,BOYS,NA,NA,NA
WOODLAWN,1989,SEMIFINALIST,GIRLS,NA,NA,NA
POTOMAC,1989,CHAMPION,BOYS,82-56,Taft Hickman,A
BROADNECK,1989,CHAMPION,GIRLS,57-36,Thomas Smith,4A
THOMAS JOHNSON,1989,CHAMPION,GIRLS,43-38,Cheryl Fout,3A
BROADNECK,1990,CHAMPION,GIRLS,57-52,Bruce Springer,4A
OAKLAND MILLS,1990,CHAMPION,BOYS,81-72,Dave Appleby,A
MOUNT HEBRON,1990,CHAMPION,GIRLS,59-35,Dave Greenberg,2A
WESTMAR,1990,CHAMPION,GIRLS,59-52,Joan Fitzpatrick,1A
ANNAPOLIS,1990,CHAMPION,BOYS,106-102,John Brady,AA
JOPPATOWNE,1990,CHAMPION,BOYS,71-47,Mike Bauer,C
BROOKLYN PARK,1990,FINALIST,GIRLS,NA,NA,NA
CAMBRIDGE/SD,1990,SEMIFINALIST,BOYS,NA,NA,NA
CENTRAL (PG),1990,CHAMPION,BOYS,NA,NA,NA
COLONEL RICHARDSON,1990,SEMIFINALIST,BOYS,NA,NA,NA
DOUGLASS (PG),1990,FINALIST,GIRLS,NA,NA,NA
ELKTON,1990,SEMIFINALIST,BOYS,NA,NA,NA
GOV. THOMAS JOHNSON,1990,FINALIST,GIRLS,NA,NA,NA
HAMMOND,1990,FINALIST,BOYS,NA,NA,NA
HEREFORD,1990,SEMIFINALIST,GIRLS,NA,NA,NA
HIGH POINT,1990,FINALIST,BOYS,NA,NA,NA
MARDELA,1990,SEMIFINALIST,GIRLS,NA,NA,NA
MIDDLETOWN,1990,FINALIST,GIRLS,NA,NA,NA
MIDDLETOWN,1990,SEMIFINALIST,BOYS,NA,NA,NA
MONTGOMERY BLAIR,1990,SEMIFINALIST,GIRLS,NA,NA,NA
NORTHEAST (AA),1990,SEMIFINALIST,GIRLS,NA,NA,NA
NORTHERN (CAL.),1990,FINALIST,BOYS,NA,NA,NA
PARKSIDE,1990,SEMIFINALIST,GIRLS,NA,NA,NA
PARKVILLE,1990,FINALIST,GIRLS,NA,NA,NA
POTOMAC,1990,SEMIFINALIST,BOYS,NA,NA,NA
RANDALLSTOWN,1990,SEMIFINALIST,BOYS,NA,NA,NA
SPRINGBROOK,1990,SEMIFINALIST,BOYS,NA,NA,NA
WESTMAR,1990,FINALIST,BOYS,NA,NA,NA
WOODLAWN,1990,SEMIFINALIST,GIRLS,NA,NA,NA
GREAT MILLS,1990,CHAMPION,GIRLS,42-40,Mike McLuckie,3A
CENTRAL-PG,1990,CHAMPION,BOYS,79-77 OT,Walter Fulton,B
DUVAL,1991,CHAMPION,BOYS,85-66,"Artie Walker, Sr.",A
MOUNT HEBRON,1991,CHAMPION,GIRLS,60-52,Dave Greenberg,2A
FORESTVILLE,1991,CHAMPION,BOYS,77-59,Gary McCorkle,B
WESTMAR,1991,CHAMPION,GIRLS,75-58,Joan Fitzpatrick,1A
PARKDALE,1991,CHAMPION,BOYS,68-54,Ken Freeman,AA
ANNAPOLIS,1991,SEMIFINALIST,BOYS,NA,NA,NA
BRUNSWICK,1991,SEMIFINALIST,BOYS,NA,NA,NA
BRUNSWICK,1991,SEMIFINALIST,GIRLS,NA,NA,NA
CATONSVILLE,1991,FINALIST,BOYS,NA,NA,NA
DOUGLASS (PG),1991,SEMIFINALIST,GIRLS,NA,NA,NA
EDGEWOOD,1991,FINALIST,BOYS,NA,NA,NA
FAIRMONT HEIGHTS,1991,SEMIFINALIST,GIRLS,NA,NA,NA
FREDERICK,1991,SEMIFINALIST,GIRLS,NA,NA,NA
GAITHERSBURG,1991,SEMIFINALIST,GIRLS,NA,NA,NA
GLENELG,1991,SEMIFINALIST,GIRLS,NA,NA,NA
KENT COUNTY,1991,SEMIFINALIST,GIRLS,NA,NA,NA
NORTH CAROLINE,1991,FINALIST,GIRLS,NA,NA,NA
NORTHERN (CAL.),1991,FINALIST,GIRLS,NA,NA,NA
NORTHERN (CAL.),1991,SEMIFINALIST,BOYS,NA,NA,NA
OAKLAND MILLS,1991,FINALIST,GIRLS,NA,NA,NA
OAKLAND MILLS,1991,SEMIFINALIST,BOYS,NA,NA,NA
PARKSIDE,1991,FINALIST,GIRLS,NA,NA,NA
POCOMOKE,1991,FINALIST,BOYS,NA,NA,NA
QUINCE ORCHARD,1991,SEMIFINALIST,BOYS,NA,NA,NA
SPRINGBROOK,1991,FINALIST,BOYS,NA,NA,NA
SPRINGBROOK,1991,FINALIST,GIRLS,NA,NA,NA
WATKINS MILL,1991,SEMIFINALIST,BOYS,NA,NA,NA
WILDE LAKE,1991,SEMIFINALIST,BOYS,NA,NA,NA
WILLIAMSPORT,1991,SEMIFINALIST,BOYS,NA,NA,NA
OLD MILL,1991,CHAMPION,GIRLS,53-51,Pat Chance,4A
DUVAL,1991,CHAMPION,GIRLS,60-42,Walter Clark,3A
JOPPATOWNE,1991,CHAMPION,BOYS,67-47,Mike Bauer,C
CATONSVILLE,1992,CHAMPION,BOYS,70-69,Art Gamzon,A
LINGANORE,1992,CHAMPION,GIRLS,47-40,Brian Matthews,3A
HIGH POINT,1992,CHAMPION,BOYS,65-53,Ernie Welch,AA
FORESTVILLE,1992,CHAMPION,BOYS,84-53,Gary McCorkle,B
WILLIAMSPORT,1992,CHAMPION,GIRLS,34-21,Glenn Smith,1A
MILFORD MILL,1992,CHAMPION,BOYS,88-63,Homer Seidel,C
HAMMOND,1992,CHAMPION,GIRLS,56-51,Joe Russo,2A
BOWIE,1992,FINALIST,GIRLS,NA,NA,NA
BRUNSWICK,1992,SEMIFINALIST,GIRLS,NA,NA,NA
CALVERT,1992,SEMIFINALIST,GIRLS,NA,NA,NA
CROSSLAND,1992,SEMIFINALIST,BOYS,NA,NA,NA
DAMASCUS,1992,SEMIFINALIST,GIRLS,NA,NA,NA
DUVAL,1992,SEMIFINALIST,BOYS,NA,NA,NA
FALLSTON,1992,FINALIST,GIRLS,NA,NA,NA
GLENELG,1992,FINALIST,GIRLS,NA,NA,NA
LAUREL,1992,SEMIFINALIST,GIRLS,NA,NA,NA
LEONARDTOWN,1992,SEMIFINALIST,GIRLS,NA,NA,NA
OLD MILL,1992,FINALIST,BOYS,NA,NA,NA
OVERLEA,1992,FINALIST,BOYS,NA,NA,NA
PAINT BRANCH,1992,FINALIST,BOYS,NA,NA,NA
PERRYVILLE,1992,FINALIST,BOYS,NA,NA,NA
POCOMOKE,1992,SEMIFINALIST,BOYS,NA,NA,NA
POTOMAC,1992,FINALIST,BOYS,NA,NA,NA
SENECA VALLEY,1992,SEMIFINALIST,BOYS,NA,NA,NA
SNOW HILL,1992,SEMIFINALIST,GIRLS,NA,NA,NA
STEPHEN DECATUR,1992,SEMIFINALIST,BOYS,NA,NA,NA
WALKERSVILLE,1992,SEMIFINALIST,BOYS,NA,NA,NA
WATKINS MILL,1992,FINALIST,GIRLS,NA,NA,NA
WICOMICO,1992,SEMIFINALIST,GIRLS,NA,NA,NA
WILLIAMSPORT,1992,SEMIFINALIST,BOYS,NA,NA,NA
OLD MILL,1992,CHAMPION,GIRLS,50-39,Pat Chance,4A
BLADENSBURG,1993,CHAMPION,GIRLS,52-48,Lester Butler,3A
LARGO,1993,CHAMPION,BOYS,82-70,Louis Wilson,AA
MIDDLETOWN,1993,CHAMPION,GIRLS,53-48 OT,Mark Miller,2A
CAMBRIDGE/SD,1993,FINALIST,BOYS,NA,NA,NA
CATONSVILLE,1993,SEMIFINALIST,BOYS,NA,NA,NA
CENTRAL (PG),1993,SEMIFINALIST,GIRLS,NA,NA,NA
CHOPTICON,1993,SEMIFINALIST,BOYS,NA,NA,NA
EDGEWOOD,1993,SEMIFINALIST,BOYS,NA,NA,NA
FALLSTON,1993,SEMIFINALIST,BOYS,NA,NA,NA
FALLSTON,1993,SEMIFINALIST,GIRLS,NA,NA,NA
GOV. THOMAS JOHNSON,1993,SEMIFINALIST,BOYS,NA,NA,NA
HAMMOND,1993,FINALIST,GIRLS,NA,NA,NA
HEREFORD,1993,FINALIST,BOYS,NA,NA,NA
HIGH POINT,1993,SEMIFINALIST,BOYS,NA,NA,NA
HOWARD,1993,SEMIFINALIST,GIRLS,NA,NA,NA
LANSDOWNE,1993,SEMIFINALIST,GIRLS,NA,NA,NA
MEADE,1993,FINALIST,BOYS,NA,NA,NA
MILFORD MILL,1993,SEMIFINALIST,GIRLS,NA,NA,NA
OXON HILL,1993,SEMIFINALIST,GIRLS,NA,NA,NA
PARKSIDE,1993,SEMIFINALIST,GIRLS,NA,NA,NA
PAUL LAURENCE DUNBAR,1993,CHAMPION,BOYS,NA,NA,NA
POTOMAC,1993,FINALIST,BOYS,NA,NA,NA
SOUTHERN (B),1993,CHAMPION,BOYS,NA,NA,NA
SPRINGBROOK,1993,SEMIFINALIST,BOYS,NA,NA,NA
SPRINGBROOK,1993,SEMIFINALIST,GIRLS,NA,NA,NA
WALT WHITMAN,1993,FINALIST,GIRLS,NA,NA,NA
WESTERN (B),1993,FINALIST,GIRLS,NA,NA,NA
WESTMAR,1993,SEMIFINALIST,BOYS,NA,NA,NA
WILLIAMSPORT,1993,FINALIST,GIRLS,NA,NA,NA
OLD MILL,1993,CHAMPION,GIRLS,59-35,Pat Chance,4A
ALLEGANY,1993,CHAMPION,BOYS,50-45 OT,Toby Eirich,B
EASTON,1993,CHAMPION,GIRLS,51-42,Tom Callahan,1A
SOUTHERN-B,1993,CHAMPION,BOYS,70-57,Meredith Smith,A
DUNBAR,1993,CHAMPION,BOYS,66-59,Pete Pompey,C
DUVAL,1994,CHAMPION,BOYS,60-58,"Artie Walker, Sr.",A
HOWARD,1994,CHAMPION,GIRLS,47-41,Craig O'Connell,3A
MILFORD MILL,1994,CHAMPION,BOYS,68-54,Homer Seidel,C
HAMMOND,1994,CHAMPION,GIRLS,59-41,Joe Russo,2A
ALLEGANY,1994,FINALIST,BOYS,NA,NA,NA
ANNAPOLIS,1994,SEMIFINALIST,GIRLS,NA,NA,NA
CATOCTIN,1994,SEMIFINALIST,GIRLS,NA,NA,NA
CROSSLAND,1994,SEMIFINALIST,BOYS,NA,NA,NA
DUVAL,1994,SEMIFINALIST,GIRLS,NA,NA,NA
EDGEWOOD,1994,SEMIFINALIST,BOYS,NA,NA,NA
FALLSTON,1994,SEMIFINALIST,GIRLS,NA,NA,NA
FREDERICK DOUGLASS (B),1994,FINALIST,BOYS,NA,NA,NA
GLEN BURNIE,1994,SEMIFINALIST,BOYS,NA,NA,NA
GOV. THOMAS JOHNSON,1994,SEMIFINALIST,BOYS,NA,NA,NA
MIDDLETOWN,1994,FINALIST,GIRLS,NA,NA,NA
OXON HILL,1994,SEMIFINALIST,GIRLS,NA,NA,NA
PAUL LAURENCE DUNBAR,1994,CHAMPION,BOYS,NA,NA,NA
POTOMAC,1994,SEMIFINALIST,BOYS,NA,NA,NA
RANDALLSTOWN,1994,SEMIFINALIST,BOYS,NA,NA,NA
RANDALLSTOWN,1994,SEMIFINALIST,GIRLS,NA,NA,NA
SHERWOOD,1994,FINALIST,GIRLS,NA,NA,NA
SNOW HILL,1994,SEMIFINALIST,BOYS,NA,NA,NA
SOUTH RIVER,1994,SEMIFINALIST,GIRLS,NA,NA,NA
SOUTHERN (B),1994,CHAMPION,BOYS,NA,NA,NA
SOUTHERN (G),1994,SEMIFINALIST,GIRLS,NA,NA,NA
SPRINGBROOK,1994,FINALIST,BOYS,NA,NA,NA
WALT WHITMAN,1994,SEMIFINALIST,GIRLS,NA,NA,NA
WESTERN (B),1994,CHAMPION,GIRLS,NA,NA,NA
WILDE LAKE,1994,FINALIST,BOYS,NA,NA,NA
WILLIAMSPORT,1994,SEMIFINALIST,BOYS,NA,NA,NA
EASTON,1994,CHAMPION,GIRLS,66-50,Tom Callahan,1A
WESTERN,1994,CHAMPION,GIRLS,61-48,Breezy Bishop,4A
SOUTHERN-B,1994,CHAMPION,BOYS,68-58,Meredith Smith,AA
DUNBAR,1994,CHAMPION,BOYS,90-62,Paul Smith,B
LAKE CLIFTON/EASTERN,1995,CHAMPION,BOYS,65-62,Charlie Moore,AA
FORESTVILLE,1995,CHAMPION,BOYS,67-63,Irvin Hay,C
HAMMOND,1995,CHAMPION,GIRLS,57-51,Joe Russo,2A
WILDE LAKE,1995,CHAMPION,GIRLS,56-46,Kelly Storr,1A
RANDALLSTOWN,1995,CHAMPION,BOYS,58-57,Kim Rivers,A
ARUNDEL,1995,FINALIST,GIRLS,NA,NA,NA
ARUNDEL,1995,SEMIFINALIST,BOYS,NA,NA,NA
BLADENSBURG,1995,FINALIST,GIRLS,NA,NA,NA
BROADNECK,1995,SEMIFINALIST,BOYS,NA,NA,NA
C. MILTON WRIGHT,1995,SEMIFINALIST,GIRLS,NA,NA,NA
COLONEL RICHARDSON,1995,SEMIFINALIST,BOYS,NA,NA,NA
EDGEWOOD,1995,SEMIFINALIST,BOYS,NA,NA,NA
FALLSTON,1995,FINALIST,GIRLS,NA,NA,NA
GOV. THOMAS JOHNSON,1995,FINALIST,BOYS,NA,NA,NA
GWYNN PARK,1995,SEMIFINALIST,BOYS,NA,NA,NA
HIGH POINT,1995,SEMIFINALIST,BOYS,NA,NA,NA
MILFORD MILL,1995,FINALIST,BOYS,NA,NA,NA
MONTGOMERY BLAIR,1995,SEMIFINALIST,GIRLS,NA,NA,NA
MOUNT HEBRON,1995,FINALIST,GIRLS,NA,NA,NA
OAKLAND MILLS,1995,FINALIST,BOYS,NA,NA,NA
OXON HILL,1995,SEMIFINALIST,GIRLS,NA,NA,NA
PARKSIDE,1995,SEMIFINALIST,GIRLS,NA,NA,NA
PAUL LAURENCE DUNBAR,1995,CHAMPION,BOYS,NA,NA,NA
POCOMOKE,1995,SEMIFINALIST,GIRLS,NA,NA,NA
SOUTH HAGERSTOWN,1995,SEMIFINALIST,BOYS,NA,NA,NA
SOUTH HAGERSTOWN,1995,SEMIFINALIST,GIRLS,NA,NA,NA
SOUTHERN (G),1995,FINALIST,GIRLS,NA,NA,NA
SPRINGBROOK,1995,FINALIST,BOYS,NA,NA,NA
WALT WHITMAN,1995,CHAMPION,GIRLS,NA,NA,NA
WESTERN (B),1995,CHAMPION,GIRLS,NA,NA,NA
WILLIAMSPORT,1995,SEMIFINALIST,BOYS,NA,NA,NA
WESTERN,1995,CHAMPION,GIRLS,51-33,Breezy Bishop,4A
WHITMAN,1995,CHAMPION,GIRLS,66-65,Kerry Ward,3A
DUNBAR,1995,CHAMPION,BOYS,100-58,Paul Smith,B
BRUNSWICK,1996,CHAMPION,GIRLS,58-47,Bill Martin,1A
LINGANORE,1996,CHAMPION,GIRLS,61-54,Brian Matthews,2A
CAMBRIDGE/SD,1996,CHAMPION,BOYS,71-51,Grayson Hurley,C
ARUNDEL,1996,CHAMPION,GIRLS,57-49,Lee Rogers,4A
ABERDEEN,1996,FINALIST,BOYS,NA,NA,NA
ANNAPOLIS,1996,SEMIFINALIST,BOYS,NA,NA,NA
BRUNSWICK,1996,SEMIFINALIST,BOYS,NA,NA,NA
C. MILTON WRIGHT,1996,SEMIFINALIST,GIRLS,NA,NA,NA
CENTRAL (PG),1996,CHAMPION,BOYS,NA,NA,NA
DOUGLASS (PG),1996,SEMIFINALIST,GIRLS,NA,NA,NA
GAITHERSBURG,1996,SEMIFINALIST,GIRLS,NA,NA,NA
GWYNN PARK,1996,SEMIFINALIST,BOYS,NA,NA,NA
