SCHOOL,YEAR,FINAL STANDING,GENDER,FINAL SCORE,COACH,CLASS
NORTHWESTERN (PG),1952,FINALIST,BOYS,NA,NA,NA
RICHARD MONTGOMERY,1952,SEMIFINALIST,BOYS,NA,NA,NA
SYKESVILLE,1952,SEMIFINALIST,BOYS,NA,NA,NA
WICOMICO,1952,SEMIFINALIST,BOYS,NA,NA,NA
OCEAN CITY,1952,CHAMPION,BOYS,70-55,Richard DeHart,C
CENTRAL-LONACONING,1952,CHAMPION,BOYS,47-45,John Meyers,B
BRUCE,1953,CHAMPION,BOYS,59-51,Augie Eichorn,B
MONTGOMERY BLAIR,1953,CHAMPION,BOYS,60-57,David Carrasco,A
ALLEGANY,1953,FINALIST,BOYS,NA,NA,NA
ARUNDEL,1953,FINALIST,BOYS,NA,NA,NA
BEL AIR,1953,FINALIST,BOYS,NA,NA,NA
EASTON,1953,SEMIFINALIST,BOYS,NA,NA,NA
ELKTON,1953,SEMIFINALIST,BOYS,NA,NA,NA
ELMER WOLFE,1953,FINALIST,BOYS,NA,NA,NA
ROCK HALL,1953,CHAMPION,BOYS,NA,NA,NA
VIENNA,1953,SEMIFINALIST,BOYS,NA,NA,NA
WICOMICO,1953,SEMIFINALIST,BOYS,NA,NA,NA
BARTON,1953,CHAMPION,BOYS,55-33,Paul Footen,C
BRUCE,1954,CHAMPION,BOYS,50-45,Augie Eichorn,B
PERRYVILLE,1954,CHAMPION,BOYS,65-63,Kenneth Wood,C
ANNAPOLIS,1954,SEMIFINALIST,BOYS,NA,NA,NA
BETHESDA-CHEVY CHASE,1954,FINALIST,BOYS,NA,NA,NA
EASTON,1954,FINALIST,BOYS,NA,NA,NA
FEDERALSBURG,1954,CHAMPION,BOYS,NA,NA,NA
HENRY E. LACKEY,1954,SEMIFINALIST,BOYS,NA,NA,NA
NEW WINDSOR,1954,FINALIST,BOYS,NA,NA,NA
POCOMOKE,1954,SEMIFINALIST,BOYS,NA,NA,NA
WICOMICO,1954,SEMIFINALIST,BOYS,NA,NA,NA
ALLEGANY,1954,CHAMPION,BOYS,76-41,Walter Bowers,A
CAMBRIDGE,1955,CHAMPION,BOYS,47-37,(None listed),B
MONTGOMERY BLAIR,1955,CHAMPION,BOYS,58-55,David Carrasco,A
HENRY E. LACKEY,1955,CHAMPION,BOYS,50-46,Frank LaFontaine,C
ABERDEEN,1955,SEMIFINALIST,BOYS,NA,NA,NA
CENTREVILLE,1955,FINALIST,BOYS,NA,NA,NA
HAGERSTOWN,1955,FINALIST,BOYS,NA,NA,NA
KENWOOD,1955,SEMIFINALIST,BOYS,NA,NA,NA
MARDELA,1955,FINALIST,BOYS,NA,NA,NA
OXON HILL,1955,FINALIST,BOYS,NA,NA,NA
SOUTHERN (AA),1955,FINALIST,BOYS,NA,NA,NA
VALLEY,1955,SEMIFINALIST,BOYS,NA,NA,NA
WICOMICO,1955,SEMIFINALIST,BOYS,NA,NA,NA
VALLEY,1956,CHAMPION,BOYS,66-63,John Meyers,B
CENTREVILLE,1956,CHAMPION,BOYS,53-48 OT,Leonard Feist,C
ALLEGANY,1956,FINALIST,BOYS,NA,NA,NA
ARUNDEL,1956,SEMIFINALIST,BOYS,NA,NA,NA
BEL AIR,1956,FINALIST,BOYS,NA,NA,NA
CAMBRIDGE,1956,SEMIFINALIST,BOYS,NA,NA,NA
CRISFIELD,1956,FINALIST,BOYS,NA,NA,NA
HENRY E. LACKEY,1956,SEMIFINALIST,BOYS,NA,NA,NA
MANCHESTER,1956,SEMIFINALIST,BOYS,NA,NA,NA
NORTHWESTERN (PG),1956,CHAMPION,BOYS,NA,NA,NA
OXON HILL,1956,FINALIST,BOYS,NA,NA,NA
WICOMICO,1956,SEMIFINALIST,BOYS,NA,NA,NA
NORTHWESTERN-PG,1956,CHAMPION,BOYS,59-48,Bill Yarnall,A
FREDERICK,1957,CHAMPION,BOYS,58-51,Homer Brooks,A
VALLEY,1957,CHAMPION,BOYS,64-44,John Meyers,B
CHESTERTOWN,1957,SEMIFINALIST,BOYS,NA,NA,NA
HOWARD COUNTY,1957,SEMIFINALIST,BOYS,NA,NA,NA
LAUREL,1957,FINALIST,BOYS,NA,NA,NA
MONTGOMERY BLAIR,1957,FINALIST,BOYS,NA,NA,NA
OXON HILL,1957,FINALIST,BOYS,NA,NA,NA
SOUTHERN (AA),1957,SEMIFINALIST,BOYS,NA,NA,NA
STEPHEN DECATUR,1957,FINALIST,BOYS,NA,NA,NA
SUDLERSVILLE,1957,SEMIFINALIST,BOYS,NA,NA,NA
WICOMICO,1957,SEMIFINALIST,BOYS,NA,NA,NA
CRISFIELD,1957,CHAMPION,BOYS,48-37,Nick Scallion,C
HENRY E. LACKEY,1958,CHAMPION,BOYS,53-52,Frank LaFontaine,C
FORT HILL,1958,CHAMPION,BOYS,62-44,John Cavanaugh,A
ANNAPOLIS,1958,SEMIFINALIST,BOYS,NA,NA,NA
CRISFIELD,1958,SEMIFINALIST,BOYS,NA,NA,NA
GAITHERSBURG,1958,FINALIST,BOYS,NA,NA,NA
MONTGOMERY BLAIR,1958,FINALIST,BOYS,NA,NA,NA
NEW WINDSOR,1958,SEMIFINALIST,BOYS,NA,NA,NA
NORTH CARROLL,1958,SEMIFINALIST,BOYS,NA,NA,NA
VALLEY,1958,SEMIFINALIST,BOYS,NA,NA,NA
WALKERSVILLE,1958,FINALIST,BOYS,NA,NA,NA
WICOMICO,1958,SEMIFINALIST,BOYS,NA,NA,NA
CHESTERTOWN,1958,CHAMPION,BOYS,48-45,Wallace Smith,B
BETHESDA-CHEVY CHASE,1959,CHAMPION,BOYS,75-49,Floris Davisson,A
HENRY E. LACKEY,1959,CHAMPION,BOYS,36-29,Frank LaFontaine,C
VALLEY,1959,CHAMPION,BOYS,57-43,John Meyers,B
ABERDEEN,1959,FINALIST,BOYS,NA,NA,NA
ANNAPOLIS,1959,SEMIFINALIST,BOYS,NA,NA,NA
CAMBRIDGE,1959,SEMIFINALIST,BOYS,NA,NA,NA
CRISFIELD,1959,SEMIFINALIST,BOYS,NA,NA,NA
ELMER WOLFE,1959,FINALIST,BOYS,NA,NA,NA
HANCOCK,1959,SEMIFINALIST,BOYS,NA,NA,NA
HOWARD COUNTY,1959,FINALIST,BOYS,NA,NA,NA
NORTH HAGERSTOWN,1959,SEMIFINALIST,BOYS,NA,NA,NA
RISING SUN,1959,SEMIFINALIST,BOYS,NA,NA,NA
BLADENSBURG,1960,CHAMPION,BOYS,75-54,Al Kyber,A
WALKERSVILLE,1960,CHAMPION,BOYS,62-53,Bill Talley,C
SURRATTSVILLE,1960,CHAMPION,BOYS,47-41,Edward Andrauskas/S. D. Harpe,B
ALLEGANY,1960,SEMIFINALIST,BOYS,NA,NA,NA
BETHESDA-CHEVY CHASE,1960,SEMIFINALIST,BOYS,NA,NA,NA
CRISFIELD,1960,SEMIFINALIST,BOYS,NA,NA,NA
EASTON,1960,SEMIFINALIST,BOYS,NA,NA,NA
FRANCIS SCOTT KEY,1960,FINALIST,BOYS,NA,NA,NA
MILFORD MILL,1960,FINALIST,BOYS,NA,NA,NA
NORTH EAST (CECIL),1960,SEMIFINALIST,BOYS,NA,NA,NA
NORTHERN (G),1960,SEMIFINALIST,BOYS,NA,NA,NA
POOLESVILLE,1960,SEMIFINALIST,BOYS,NA,NA,NA
MONTGOMERY BLAIR,1961,CHAMPION,BOYS,75-63,Eddie Moffatt,AA
CRISFIELD,1961,CHAMPION,BOYS,63-59,Jack Morgan,C
BRUCE,1961,CHAMPION,BOYS,59-50,Leonard Ritchie,B
ANNAPOLIS,1961,SEMIFINALIST,BOYS,NA,NA,NA
BEALL,1961,SEMIFINALIST,BOYS,NA,NA,NA
CAMBRIDGE,1961,SEMIFINALIST,BOYS,NA,NA,NA
FRANCIS SCOTT KEY,1961,SEMIFINALIST,BOYS,NA,NA,NA
FREDERICK SASSCER,1961,SEMIFINALIST,BOYS,NA,NA,NA
GAITHERSBURG,1961,SEMIFINALIST,BOYS,NA,NA,NA
GLEN BURNIE,1961,FINALIST,BOYS,NA,NA,NA
HANCOCK,1961,FINALIST,BOYS,NA,NA,NA
HENRY E. LACKEY,1961,FINALIST,BOYS,NA,NA,NA
MILFORD MILL,1961,SEMIFINALIST,BOYS,NA,NA,NA
SOUTHERN (G),1961,FINALIST,BOYS,NA,NA,NA
SUDLERSVILLE,1961,SEMIFINALIST,BOYS,NA,NA,NA
SPARROWS POINT,1961,CHAMPION,BOYS,68-61,Warren Ormiston,A
SURRATTSVILLE,1962,CHAMPION,BOYS,63-52,Bob Vaughn,A
MONTGOMERY BLAIR,1962,CHAMPION,BOYS,59-48,Eddie Moffatt,AA
ABERDEEN,1962,SEMIFINALIST,BOYS,NA,NA,NA
ARUNDEL,1962,SEMIFINALIST,BOYS,NA,NA,NA
BLADENSBURG,1962,FINALIST,BOYS,NA,NA,NA
CRISFIELD,1962,FINALIST,BOYS,NA,NA,NA
EMMITSBURG,1962,SEMIFINALIST,BOYS,NA,NA,NA
NORTH CAROLINE,1962,FINALIST,BOYS,NA,NA,NA
SOUTH HAGERSTOWN,1962,SEMIFINALIST,BOYS,NA,NA,NA
SPRINGBROOK,1962,SEMIFINALIST,BOYS,NA,NA,NA
SUDLERSVILLE,1962,SEMIFINALIST,BOYS,NA,NA,NA
TOWSON,1962,SEMIFINALIST,BOYS,NA,NA,NA
VALLEY,1962,SEMIFINALIST,BOYS,NA,NA,NA
WALKERSVILLE,1962,FINALIST,BOYS,NA,NA,NA
NORTH HARFORD,1962,CHAMPION,BOYS,44-33,Robert Garbacik,B
POOLESVILLE,1962,CHAMPION,BOYS,67-40,Robert Mowen,C
ALLEGANY,1963,CHAMPION,BOYS,57-39,Chester Payne,A
BLADENSBURG,1963,FINALIST,BOYS,NA,NA,NA
CAMBRIDGE,1963,SEMIFINALIST,BOYS,NA,NA,NA
FAIRMONT HEIGHTS,1963,SEMIFINALIST,BOYS,NA,NA,NA
FREDERICK,1963,SEMIFINALIST,BOYS,NA,NA,NA
FREDERICK DOUGLASS (PG),1963,CHAMPION,BOYS,NA,NA,NA
GARNETT,1963,SEMIFINALIST,BOYS,NA,NA,NA
GLENELG,1963,SEMIFINALIST,BOYS,NA,NA,NA
HANCOCK,1963,SEMIFINALIST,BOYS,NA,NA,NA
MOTON,1963,SEMIFINALIST,BOYS,NA,NA,NA
MOUNT SAVAGE,1963,FINALIST,BOYS,NA,NA,NA
SPRINGBROOK,1963,FINALIST,BOYS,NA,NA,NA
WALTER JOHNSON,1963,SEMIFINALIST,BOYS,NA,NA,NA
WICOMICO,1963,SEMIFINALIST,BOYS,NA,NA,NA
TOWSON,1963,CHAMPION,BOYS,75-60,Randy Walker,AA
POOLESVILLE,1963,CHAMPION,BOYS,99-77,Robert Mowen,C
DOUGLASS-PG,1963,CHAMPION,BOYS,68-61,Charles Briggs,B
WALKERSVILLE,1964,CHAMPION,BOYS,83-68,Bill Talley,B
ALLEGANY,1964,CHAMPION,BOYS,84-61,Chester Payne,AA
CRISFIELD,1964,CHAMPION,BOYS,73-64,Jack Morgan,C
FAIRMONT HEIGHTS,1964,CHAMPION,BOYS,72-55,Ken Freeman,A
BEALL,1964,FINALIST,BOYS,NA,NA,NA
CARVER,1964,SEMIFINALIST,BOYS,NA,NA,NA
CENTRAL CONSOLIDATED,1964,SEMIFINALIST,BOYS,NA,NA,NA
HANCOCK,1964,FINALIST,BOYS,NA,NA,NA
MACE'S LANE,1964,SEMIFINALIST,BOYS,NA,NA,NA
NORTHWOOD,1964,SEMIFINALIST,BOYS,NA,NA,NA
SURRATTSVILLE,1964,SEMIFINALIST,BOYS,NA,NA,NA
SYKESVILLE,1964,SEMIFINALIST,BOYS,NA,NA,NA
TOWSON,1964,FINALIST,BOYS,NA,NA,NA
WESTMINSTER,1964,SEMIFINALIST,BOYS,NA,NA,NA
SURRATTSVILLE,1965,CHAMPION,BOYS,64-61,Bob Vaughn,AA
SOMERSET,1965,CHAMPION,BOYS,75-73,J. R. Robinson,B
ALLEGANY,1965,SEMIFINALIST,BOYS,NA,NA,NA
EASTON,1965,FINALIST,BOYS,NA,NA,NA
FORT HILL,1965,SEMIFINALIST,BOYS,NA,NA,NA
LOCKERMAN,1965,FINALIST,BOYS,NA,NA,NA
NORTH EAST (CECIL),1965,SEMIFINALIST,BOYS,NA,NA,NA
PARKVILLE,1965,FINALIST,BOYS,NA,NA,NA
POCOMOKE,1965,SEMIFINALIST,BOYS,NA,NA,NA
RICHARD MONTGOMERY,1965,SEMIFINALIST,BOYS,NA,NA,NA
SHERWOOD,1965,SEMIFINALIST,BOYS,NA,NA,NA
SOLLER‚ÎS POINT,1965,SEMIFINALIST,BOYS,NA,NA,NA
WALKERSVILLE,1965,FINALIST,BOYS,NA,NA,NA
CENTRAL CONSOLIDATED,1965,CHAMPION,BOYS,55-51,William Brown,C
ARUNDEL,1965,CHAMPION,BOYS,71-64,William Crowell,A
RICHARD MONTGOMERY,1966,CHAMPION,BOYS,48-45,E. Wathall,AA
SOMERSET,1966,CHAMPION,BOYS,88-71,J. Robinson,C
FAIRMONT HEIGHTS,1966,CHAMPION,BOYS,81-47,Ken Freeman,A
BEALL,1966,SEMIFINALIST,BOYS,NA,NA,NA
BOHEMIA MANOR,1966,SEMIFINALIST,BOYS,NA,NA,NA
BROOKLYN PARK,1966,FINALIST,BOYS,NA,NA,NA
BRUCE,1966,FINALIST,BOYS,NA,NA,NA
EDGEWOOD,1966,SEMIFINALIST,BOYS,NA,NA,NA
FREDERICK DOUGLASS (PG),1966,CHAMPION,BOYS,NA,NA,NA
HIGH POINT,1966,FINALIST,BOYS,NA,NA,NA
MACE'S LANE,1966,SEMIFINALIST,BOYS,NA,NA,NA
MOUNT SAVAGE,1966,SEMIFINALIST,BOYS,NA,NA,NA
POOLESVILLE,1966,SEMIFINALIST,BOYS,NA,NA,NA
SOUTH HAGERSTOWN,1966,SEMIFINALIST,BOYS,NA,NA,NA
SYKESVILLE,1966,SEMIFINALIST,BOYS,NA,NA,NA
TOWSON,1966,SEMIFINALIST,BOYS,NA,NA,NA
DOUGLASS-PG,1966,CHAMPION,BOYS,63-60,S. A. Williams,B
FREDERICK SASSCER,1967,CHAMPION,BOYS,94-79,Chester Pietras,B
FREDERICK,1967,CHAMPION,BOYS,59-41,Homer Brooks,A
ATHOLTON,1967,SEMIFINALIST,BOYS,NA,NA,NA
MACE'S LANE,1967,FINALIST,BOYS,NA,NA,NA
MOUNT SAVAGE,1967,CHAMPION,BOYS,NA,NA,NA
NORTH HAGERSTOWN,1967,SEMIFINALIST,BOYS,NA,NA,NA
NORTHWESTERN (PG),1967,CHAMPION,BOYS,NA,NA,NA
PERRYVILLE,1967,SEMIFINALIST,BOYS,NA,NA,NA
POCOMOKE,1967,SEMIFINALIST,BOYS,NA,NA,NA
POOLESVILLE,1967,SEMIFINALIST,BOYS,NA,NA,NA
RICHARD MONTGOMERY,1967,FINALIST,BOYS,NA,NA,NA
SURRATTSVILLE,1967,FINALIST,BOYS,NA,NA,NA
SYKESVILLE,1967,SEMIFINALIST,BOYS,NA,NA,NA
TOWSON,1967,SEMIFINALIST,BOYS,NA,NA,NA
VALLEY,1967,SEMIFINALIST,BOYS,NA,NA,NA
WICOMICO,1967,SEMIFINALIST,BOYS,NA,NA,NA
NORTHWESTERN-PG,1967,CHAMPION,BOYS,72-41,William Longsworth,AA
MT. SAVAGE,1967,CHAMPION,BOYS,56-54,Robert Kirk,C
EASTON,1968,CHAMPION,BOYS,75-62,Gary Shaffer,B
FAIRMONT HEIGHTS,1968,CHAMPION,BOYS,67-66,Ken Freeman,A
ANDOVER,1968,SEMIFINALIST,BOYS,NA,NA,NA
ANNAPOLIS,1968,SEMIFINALIST,BOYS,NA,NA,NA
BOHEMIA MANOR,1968,SEMIFINALIST,BOYS,NA,NA,NA
DUNDALK,1968,SEMIFINALIST,BOYS,NA,NA,NA
FREDERICK,1968,FINALIST,BOYS,NA,NA,NA
